Year,Company,Industry,Country,Company_Type,Employee_Size,Revenue_USD,Uses_AI,Use_Case,AI_ROI_Percent,AI_Maturity_Score
2025,Samsung,Technology,South Korea,Real,Enterprise,448082995961.29,Yes,Recommendation Systems,11.05,83
2020,Siemens,Industrial,Germany,Real,Enterprise,468479344371.71,Yes,Customer Segmentation,31.09,80
2021,Siemens,Industrial,Germany,Real,Enterprise,435721334670.64,Yes,Demand Forecasting,34.2,90
2022,Siemens,Industrial,Germany,Real,Enterprise,118677377360.73,Yes,Customer Segmentation,26.56,75
2023,Siemens,Industrial,Germany,Real,Enterprise,94199601358.23,Yes,Generative AI,17.0,95
2024,Siemens,Industrial,Germany,Real,Enterprise,74938766818.33,Yes,Medical Imaging AI,12.65,96
2025,Siemens,Industrial,Germany,Real,Enterprise,348507200868.72,Yes,Demand Forecasting,22.47,99
2020,Shell,Energy,UK,Real,Enterprise,5310236387.31,Yes,Robotics,39.54,85
2021,Shell,Energy,UK,Real,Enterprise,286311946547.74,Yes,Fraud Detection,14.03,74
2022,Shell,Energy,UK,Real,Enterprise,432633860578.75,Yes,Generative AI,26.41,96
2023,Shell,Energy,UK,Real,Enterprise,99644844570.82,No,None,0.0,2
2024,Shell,Energy,UK,Real,Enterprise,244895848635.49,Yes,Autonomous Driving,11.52,80
2025,Shell,Energy,UK,Real,Enterprise,367318867056.82,Yes,Robotics,25.63,71
2020,BP,Energy,UK,Real,Enterprise,295314247520.04,Yes,Customer Segmentation,12.85,96
2021,BP,Energy,UK,Real,Enterprise,157081754922.4,Yes,Demand Forecasting,14.59,94
2022,BP,Energy,UK,Real,Enterprise,291857505429.24,Yes,Chatbots,10.83,82
2023,BP,Energy,UK,Real,Enterprise,322324704275.07,Yes,Chatbots,20.95,89
2024,BP,Energy,UK,Real,Enterprise,190689568583.51,Yes,Supply Chain Optimization,27.61,99
2025,BP,Energy,UK,Real,Enterprise,301364011696.09,Yes,Customer Segmentation,32.58,82
2020,Alibaba,E-commerce,China,Real,Enterprise,454403195737.45,Yes,Predictive Maintenance,28.3,71
2021,Alibaba,E-commerce,China,Real,Enterprise,368338455879.68,Yes,Chatbots,12.26,72
2022,Alibaba,E-commerce,China,Real,Enterprise,194287658411.2,Yes,AI Trading,39.55,84
2023,Alibaba,E-commerce,China,Real,Enterprise,276384388788.5,Yes,Customer Segmentation,29.46,90
2024,Alibaba,E-commerce,China,Real,Enterprise,192336758326.31,Yes,Recommendation Systems,14.41,82
2025,Alibaba,E-commerce,China,Real,Enterprise,305543258858.12,Yes,Generative AI,28.32,98
2020,Tencent,Technology,China,Real,Enterprise,369276189944.07,Yes,Robotics,21.27,74
2021,Tencent,Technology,China,Real,Enterprise,118506414286.4,Yes,Demand Forecasting,38.8,95
2022,Tencent,Technology,China,Real,Enterprise,181695167520.02,Yes,Generative AI,37.01,81
2023,Tencent,Technology,China,Real,Enterprise,32322017054.73,Yes,Generative AI,39.62,82
2024,Tencent,Technology,China,Real,Enterprise,69088991178.65,Yes,Fraud Detection,35.26,100
2025,Tencent,Technology,China,Real,Enterprise,188997465650.12,Yes,Recommendation Systems,29.56,71
2020,Infosys,Technology,India,Real,Enterprise,280722018113.82,Yes,Recommendation Systems,39.06,71
2021,Infosys,Technology,India,Real,Enterprise,14451701172.94,Yes,AI Trading,27.19,84
2022,Infosys,Technology,India,Real,Enterprise,323298899325.52,Yes,Predictive Maintenance,10.02,83
2023,Infosys,Technology,India,Real,Enterprise,67428305010.1,No,None,0.0,11
2024,Infosys,Technology,India,Real,Enterprise,467426683221.06,Yes,Fraud Detection,23.28,99
2025,Infosys,Technology,India,Real,Enterprise,424230819698.64,Yes,Recommendation Systems,37.39,94
2020,Tata Consultancy Services,Technology,India,Real,Enterprise,149499699631.54,Yes,AI Trading,23.62,82
2021,Tata Consultancy Services,Technology,India,Real,Enterprise,209761564961.43,Yes,Supply Chain Optimization,31.07,72
2022,Tata Consultancy Services,Technology,India,Real,Enterprise,388631546314.39,Yes,Fraud Detection,19.24,93
2023,Tata Consultancy Services,Technology,India,Real,Enterprise,270035621520.87,Yes,AI Trading,11.71,71
2024,Tata Consultancy Services,Technology,India,Real,Enterprise,344528931320.33,Yes,Medical Imaging AI,26.2,93
2025,Tata Consultancy Services,Technology,India,Real,Enterprise,360367377553.5,Yes,AI Trading,10.4,78
2020,HSBC,Finance,UK,Real,Enterprise,118904489407.41,Yes,Robotics,13.32,99
2021,HSBC,Finance,UK,Real,Enterprise,133107589194.19,Yes,Supply Chain Optimization,35.64,99
2022,HSBC,Finance,UK,Real,Enterprise,199322253350.79,Yes,Predictive Maintenance,28.83,100
2023,HSBC,Finance,UK,Real,Enterprise,223437128870.91,Yes,Generative AI,31.82,97
2024,HSBC,Finance,UK,Real,Enterprise,31802584204.22,Yes,Predictive Maintenance,24.6,88
2025,HSBC,Finance,UK,Real,Enterprise,306565426747.3,Yes,Medical Imaging AI,16.59,94
2020,Unilever,Consumer Goods,UK,Real,Enterprise,325981234247.57,Yes,Customer Segmentation,15.87,77
2021,Unilever,Consumer Goods,UK,Real,Enterprise,270463770025.41,Yes,Predictive Maintenance,37.13,94
2022,Unilever,Consumer Goods,UK,Real,Enterprise,362730176009.46,No,None,0.0,26
2023,Unilever,Consumer Goods,UK,Real,Enterprise,96736182217.84,Yes,Recommendation Systems,23.81,83
2024,Unilever,Consumer Goods,UK,Real,Enterprise,483457797933.83,Yes,Autonomous Driving,26.96,84
2025,Unilever,Consumer Goods,UK,Real,Enterprise,474620538147.24,Yes,Supply Chain Optimization,24.12,85
2020,Procter & Gamble,Consumer Goods,USA,Real,Enterprise,126560481046.49,Yes,Predictive Maintenance,27.19,89
2021,Procter & Gamble,Consumer Goods,USA,Real,Enterprise,281096824529.62,Yes,Demand Forecasting,11.7,70
2022,Procter & Gamble,Consumer Goods,USA,Real,Enterprise,108134640619.18,Yes,AI Trading,24.35,73
2023,Procter & Gamble,Consumer Goods,USA,Real,Enterprise,50951637698.63,Yes,Fraud Detection,20.21,100
2024,Procter & Gamble,Consumer Goods,USA,Real,Enterprise,341557799895.98,Yes,Fraud Detection,25.91,86
2025,Procter & Gamble,Consumer Goods,USA,Real,Enterprise,494997560748.84,Yes,Chatbots,28.88,100
2020,SyntheticCorp_0001,Manufacturing,UAE,Synthetic,SME,20809125.66,Yes,AI Trading,31.19,45
2021,SyntheticCorp_0001,Retail,UAE,Synthetic,SME,47129613.58,Yes,AI Trading,28.4,60
2022,SyntheticCorp_0001,Manufacturing,Brazil,Synthetic,SME,32457836.16,Yes,Recommendation Systems,36.11,76
2023,SyntheticCorp_0001,Retail,Canada,Synthetic,Enterprise,20739449648.77,Yes,Supply Chain Optimization,21.22,64
2024,SyntheticCorp_0001,E-commerce,Canada,Synthetic,SME,11901130.23,Yes,Predictive Maintenance,33.79,48
2025,SyntheticCorp_0001,Finance,India,Synthetic,SME,7129435.44,Yes,Customer Segmentation,17.01,59
2020,SyntheticCorp_0002,Energy,Japan,Synthetic,SME,44889314.81,Yes,Fraud Detection,18.94,80
2021,SyntheticCorp_0002,Retail,Germany,Synthetic,SME,24496938.62,Yes,AI Trading,19.68,65
2022,SyntheticCorp_0002,Retail,China,Synthetic,SME,13099611.95,Yes,Predictive Maintenance,38.51,47
2023,SyntheticCorp_0002,Healthcare,India,Synthetic,Enterprise,40263637159.19,Yes,Predictive Maintenance,15.09,83
2024,SyntheticCorp_0002,Healthcare,UAE,Synthetic,Enterprise,36709010405.61,Yes,Medical Imaging AI,30.92,65
2025,SyntheticCorp_0002,Technology,Brazil,Synthetic,SME,32602277.85,Yes,Recommendation Systems,18.72,57
2020,SyntheticCorp_0003,Manufacturing,China,Synthetic,SME,43282764.58,Yes,Predictive Maintenance,31.75,45
2021,SyntheticCorp_0003,Finance,Canada,Synthetic,SME,11013387.44,No,None,0.0,4
2022,SyntheticCorp_0003,Logistics,UK,Synthetic,SME,10839131.73,Yes,Predictive Maintenance,13.02,51
2023,SyntheticCorp_0003,Technology,UAE,Synthetic,Enterprise,21755937825.77,Yes,Generative AI,20.61,66
2024,SyntheticCorp_0003,E-commerce,UK,Synthetic,Enterprise,46459994327.57,Yes,Medical Imaging AI,32.49,70
2025,SyntheticCorp_0003,Healthcare,USA,Synthetic,Enterprise,23398519801.85,Yes,Customer Segmentation,17.0,79
2020,SyntheticCorp_0004,Finance,UK,Synthetic,Enterprise,45450173114.56,Yes,Demand Forecasting,35.1,75
2021,SyntheticCorp_0004,Technology,China,Synthetic,SME,27880615.51,Yes,Demand Forecasting,37.21,66
2022,SyntheticCorp_0004,Technology,USA,Synthetic,Enterprise,22439637524.89,Yes,AI Trading,37.55,77
2023,SyntheticCorp_0004,Technology,UAE,Synthetic,Enterprise,41422073133.87,Yes,Autonomous Driving,14.63,82
2024,SyntheticCorp_0004,Telecom,India,Synthetic,SME,19867387.2,No,None,0.0,31
2025,SyntheticCorp_0004,Logistics,Japan,Synthetic,SME,24517297.85,Yes,Generative AI,31.78,69
2020,SyntheticCorp_0005,Retail,Brazil,Synthetic,SME,25288974.2,Yes,Fraud Detection,19.14,50
2021,SyntheticCorp_0005,Manufacturing,Germany,Synthetic,SME,27507717.58,Yes,Chatbots,15.85,42
2022,SyntheticCorp_0005,Healthcare,Germany,Synthetic,Enterprise,31087380901.49,Yes,Fraud Detection,14.01,68
2023,SyntheticCorp_0005,Healthcare,Canada,Synthetic,Enterprise,33832540865.18,No,None,0.0,29
2024,SyntheticCorp_0005,Manufacturing,UK,Synthetic,SME,38041117.34,Yes,Recommendation Systems,17.3,57
2025,SyntheticCorp_0005,Logistics,Japan,Synthetic,Enterprise,16123067937.01,No,None,0.0,7
2020,SyntheticCorp_0006,Manufacturing,Canada,Synthetic,Enterprise,48090168957.22,Yes,Supply Chain Optimization,38.51,72
2021,SyntheticCorp_0006,Telecom,USA,Synthetic,SME,22435948.51,Yes,AI Trading,18.38,59
2022,SyntheticCorp_0006,Energy,Brazil,Synthetic,SME,29318029.78,Yes,Demand Forecasting,20.16,64
2023,SyntheticCorp_0006,E-commerce,China,Synthetic,Enterprise,15863129214.81,Yes,AI Trading,30.93,60
2024,SyntheticCorp_0006,Energy,UK,Synthetic,SME,30022625.6,Yes,AI Trading,15.87,43
2025,SyntheticCorp_0006,Manufacturing,Canada,Synthetic,SME,19208157.54,Yes,Medical Imaging AI,33.91,59
2020,SyntheticCorp_0007,Manufacturing,Brazil,Synthetic,SME,11830076.95,Yes,Customer Segmentation,31.53,62
2021,SyntheticCorp_0007,Manufacturing,Germany,Synthetic,SME,25557799.73,Yes,AI Trading,15.87,58
2022,SyntheticCorp_0007,Energy,UK,Synthetic,SME,5322012.29,Yes,Customer Segmentation,10.13,85
2023,SyntheticCorp_0007,Logistics,UK,Synthetic,SME,1810283.35,Yes,Recommendation Systems,29.24,49
2024,SyntheticCorp_0007,Technology,Japan,Synthetic,SME,11100005.45,Yes,Demand Forecasting,15.54,83
2025,SyntheticCorp_0007,Retail,Japan,Synthetic,SME,37859733.6,Yes,Customer Segmentation,38.85,67
2020,SyntheticCorp_0008,Logistics,India,Synthetic,SME,16794032.85,Yes,Customer Segmentation,29.03,77
2021,SyntheticCorp_0008,Retail,India,Synthetic,Enterprise,23281425065.9,Yes,Supply Chain Optimization,30.54,50
2022,SyntheticCorp_0008,Telecom,Canada,Synthetic,Enterprise,22106641331.78,Yes,Supply Chain Optimization,21.46,62
2023,SyntheticCorp_0008,Finance,UK,Synthetic,SME,36046587.65,Yes,AI Trading,11.97,40
2024,SyntheticCorp_0008,E-commerce,UAE,Synthetic,Enterprise,1840008892.28,Yes,Recommendation Systems,35.97,60
2025,SyntheticCorp_0008,Energy,UK,Synthetic,Enterprise,7711045497.28,No,None,0.0,27
2020,SyntheticCorp_0009,Manufacturing,China,Synthetic,Enterprise,6302984218.38,Yes,Predictive Maintenance,35.04,47
2021,SyntheticCorp_0009,Retail,Brazil,Synthetic,SME,41421934.78,Yes,Fraud Detection,36.94,40
2022,SyntheticCorp_0009,E-commerce,USA,Synthetic,Enterprise,9945889822.13,Yes,Medical Imaging AI,14.34,71
2023,SyntheticCorp_0009,Technology,India,Synthetic,Enterprise,11549486001.6,Yes,Predictive Maintenance,10.54,53
2024,SyntheticCorp_0009,Manufacturing,Canada,Synthetic,SME,18027602.41,Yes,AI Trading,10.31,43
2025,SyntheticCorp_0009,E-commerce,UK,Synthetic,Enterprise,47757687532.09,Yes,Recommendation Systems,22.52,83
2020,SyntheticCorp_0010,Logistics,Brazil,Synthetic,SME,31560932.5,Yes,Autonomous Driving,20.62,53
2021,SyntheticCorp_0010,Telecom,Japan,Synthetic,SME,24993281.36,Yes,Medical Imaging AI,11.73,56
2022,SyntheticCorp_0010,Healthcare,Brazil,Synthetic,SME,48695916.43,No,None,0.0,32
2023,SyntheticCorp_0010,Telecom,India,Synthetic,Enterprise,21531934667.81,Yes,Customer Segmentation,18.87,45
2024,SyntheticCorp_0010,Finance,India,Synthetic,Enterprise,17761813008.31,No,None,0.0,33
2025,SyntheticCorp_0010,E-commerce,UAE,Synthetic,Enterprise,41021979283.15,No,None,0.0,7
2020,SyntheticCorp_0011,Retail,UK,Synthetic,Enterprise,34343920087.51,Yes,Robotics,19.7,63
2021,SyntheticCorp_0011,Technology,India,Synthetic,Enterprise,36310385082.71,Yes,Robotics,11.33,61
2022,SyntheticCorp_0011,E-commerce,USA,Synthetic,Enterprise,11636819398.68,No,None,0.0,28
2023,SyntheticCorp_0011,Energy,India,Synthetic,SME,8227914.86,No,None,0.0,9
2024,SyntheticCorp_0011,Technology,India,Synthetic,SME,31368721.04,No,None,0.0,36
2025,SyntheticCorp_0011,Logistics,China,Synthetic,SME,40701776.53,Yes,Predictive Maintenance,14.42,46
2020,SyntheticCorp_0012,E-commerce,Japan,Synthetic,Enterprise,12548166619.55,No,None,0.0,19
2021,SyntheticCorp_0012,Finance,India,Synthetic,SME,36409816.67,Yes,Chatbots,17.94,55
2022,SyntheticCorp_0012,Energy,UAE,Synthetic,SME,4509093.8,Yes,Autonomous Driving,24.89,47
2023,SyntheticCorp_0012,Logistics,Canada,Synthetic,Enterprise,6980638545.85,Yes,Chatbots,38.41,81
2024,SyntheticCorp_0012,Technology,UAE,Synthetic,Enterprise,49871471359.03,Yes,Autonomous Driving,34.37,64
2025,SyntheticCorp_0012,Manufacturing,UAE,Synthetic,Enterprise,36030698901.47,Yes,Customer Segmentation,29.72,51
2020,SyntheticCorp_0013,Energy,UK,Synthetic,SME,16590592.5,Yes,Chatbots,32.67,61
2021,SyntheticCorp_0013,Manufacturing,China,Synthetic,SME,42278820.87,Yes,Chatbots,11.19,63
2022,SyntheticCorp_0013,Telecom,Germany,Synthetic,Enterprise,11671589345.08,Yes,Robotics,34.84,78
2023,SyntheticCorp_0013,Manufacturing,USA,Synthetic,Enterprise,21009790218.37,Yes,Autonomous Driving,33.67,78
2024,SyntheticCorp_0013,Telecom,UK,Synthetic,Enterprise,21068261624.98,Yes,Fraud Detection,11.21,60
2025,SyntheticCorp_0013,Energy,Brazil,Synthetic,SME,39179007.42,Yes,AI Trading,29.74,61
2020,SyntheticCorp_0014,Finance,China,Synthetic,Enterprise,45533940354.8,Yes,Robotics,20.55,49
2021,SyntheticCorp_0014,Telecom,Germany,Synthetic,SME,5822727.35,Yes,AI Trading,22.2,83
2022,SyntheticCorp_0014,E-commerce,India,Synthetic,SME,14089065.37,Yes,Fraud Detection,19.01,61
2023,SyntheticCorp_0014,Telecom,Germany,Synthetic,SME,10500935.12,Yes,Demand Forecasting,38.83,78
2024,SyntheticCorp_0014,Finance,India,Synthetic,SME,3213961.35,Yes,Predictive Maintenance,32.1,45
2025,SyntheticCorp_0014,Energy,UK,Synthetic,Enterprise,5702702631.35,Yes,Fraud Detection,29.86,40
2020,SyntheticCorp_0015,Finance,China,Synthetic,SME,14019116.38,Yes,Recommendation Systems,34.72,48
2021,SyntheticCorp_0015,Telecom,Canada,Synthetic,Enterprise,31557166251.75,Yes,Robotics,37.97,77
2022,SyntheticCorp_0015,Technology,China,Synthetic,SME,21981013.52,Yes,Generative AI,26.45,66
2023,SyntheticCorp_0015,Telecom,Canada,Synthetic,SME,43240942.75,Yes,Demand Forecasting,27.45,61
2024,SyntheticCorp_0015,Telecom,China,Synthetic,Enterprise,3658029814.58,Yes,Supply Chain Optimization,13.2,41
2025,SyntheticCorp_0015,Finance,Canada,Synthetic,SME,5499591.98,No,None,0.0,20
2020,SyntheticCorp_0016,Manufacturing,Brazil,Synthetic,Enterprise,26314132051.65,Yes,Robotics,18.18,68
2021,SyntheticCorp_0016,Healthcare,Brazil,Synthetic,SME,38409059.58,No,None,0.0,5
2022,SyntheticCorp_0016,E-commerce,Japan,Synthetic,SME,29279929.11,Yes,Robotics,24.75,71
2023,SyntheticCorp_0016,Finance,Germany,Synthetic,SME,35841268.52,Yes,Recommendation Systems,21.39,56
2024,SyntheticCorp_0016,Energy,UAE,Synthetic,SME,12418118.87,Yes,Chatbots,22.32,63
2025,SyntheticCorp_0016,Healthcare,Japan,Synthetic,SME,39175321.29,Yes,Fraud Detection,31.13,42
2020,SyntheticCorp_0017,E-commerce,Canada,Synthetic,SME,43668211.8,Yes,Robotics,33.52,72
2021,SyntheticCorp_0017,Energy,UAE,Synthetic,SME,39861366.6,Yes,Chatbots,19.77,60
2022,SyntheticCorp_0017,Telecom,Canada,Synthetic,SME,41374258.58,Yes,Fraud Detection,25.51,65
2023,SyntheticCorp_0017,Healthcare,India,Synthetic,SME,33279143.63,Yes,Demand Forecasting,38.1,78
2024,SyntheticCorp_0017,Energy,Japan,Synthetic,SME,34037035.77,Yes,Robotics,18.54,72
2025,SyntheticCorp_0017,Healthcare,Germany,Synthetic,Enterprise,2410319242.45,Yes,Autonomous Driving,11.24,47
2020,SyntheticCorp_0018,Finance,China,Synthetic,SME,36384233.44,Yes,Robotics,15.02,75
2021,SyntheticCorp_0018,E-commerce,UK,Synthetic,Enterprise,7786363727.94,No,None,0.0,19
2022,SyntheticCorp_0018,Finance,Japan,Synthetic,SME,49202485.23,Yes,Recommendation Systems,19.66,65
2023,SyntheticCorp_0018,Logistics,Canada,Synthetic,Enterprise,32068171398.18,No,None,0.0,9
2024,SyntheticCorp_0018,Manufacturing,Brazil,Synthetic,SME,14864147.33,Yes,AI Trading,24.37,61
2025,SyntheticCorp_0018,Energy,Brazil,Synthetic,Enterprise,10007850400.16,No,None,0.0,29
2020,SyntheticCorp_0019,Finance,UAE,Synthetic,SME,49902664.28,Yes,AI Trading,18.7,84
2021,SyntheticCorp_0019,Technology,China,Synthetic,Enterprise,22175948344.25,Yes,Customer Segmentation,23.55,71
2022,SyntheticCorp_0019,Telecom,China,Synthetic,Enterprise,12028726203.97,Yes,Demand Forecasting,28.82,56
2023,SyntheticCorp_0019,Retail,India,Synthetic,Enterprise,11628907567.6,No,None,0.0,36
2024,SyntheticCorp_0019,Logistics,Canada,Synthetic,SME,28117736.7,Yes,Demand Forecasting,13.59,73
2025,SyntheticCorp_0019,Logistics,China,Synthetic,Enterprise,16920005774.68,Yes,Demand Forecasting,11.26,72
2020,SyntheticCorp_0020,Technology,Germany,Synthetic,SME,46895962.0,Yes,Autonomous Driving,19.34,52
2021,SyntheticCorp_0020,Telecom,China,Synthetic,Enterprise,43036066293.06,No,None,0.0,29
2022,SyntheticCorp_0020,E-commerce,Japan,Synthetic,SME,4908096.02,Yes,Fraud Detection,39.84,82
2023,SyntheticCorp_0020,Finance,Brazil,Synthetic,Enterprise,36449235954.17,Yes,Robotics,35.66,66
2024,SyntheticCorp_0020,Energy,UK,Synthetic,Enterprise,43647402236.63,Yes,Robotics,14.05,77
2025,SyntheticCorp_0020,Telecom,USA,Synthetic,Enterprise,13803230900.85,No,None,0.0,21
2020,SyntheticCorp_0021,Manufacturing,USA,Synthetic,Enterprise,1730456297.78,Yes,Predictive Maintenance,19.89,64
2021,SyntheticCorp_0021,Manufacturing,UAE,Synthetic,SME,4807965.49,Yes,Fraud Detection,27.87,47
2022,SyntheticCorp_0021,Healthcare,Japan,Synthetic,SME,46851203.99,Yes,Medical Imaging AI,16.08,85
2023,SyntheticCorp_0021,Retail,China,Synthetic,SME,18069523.24,Yes,Autonomous Driving,26.39,69
2024,SyntheticCorp_0021,Energy,Canada,Synthetic,Enterprise,32972042560.71,Yes,Robotics,22.09,77
2025,SyntheticCorp_0021,Energy,USA,Synthetic,Enterprise,1602196543.31,Yes,Predictive Maintenance,36.59,66
2020,SyntheticCorp_0022,Finance,Canada,Synthetic,Enterprise,27465108058.05,Yes,AI Trading,19.37,63
2021,SyntheticCorp_0022,Technology,China,Synthetic,Enterprise,1580889811.01,Yes,Customer Segmentation,35.25,49
2022,SyntheticCorp_0022,E-commerce,USA,Synthetic,SME,9957382.82,Yes,Demand Forecasting,23.62,57
2023,SyntheticCorp_0022,Logistics,USA,Synthetic,SME,46582470.54,Yes,Recommendation Systems,11.49,44
2024,SyntheticCorp_0022,E-commerce,India,Synthetic,Enterprise,24882681063.85,Yes,Fraud Detection,32.33,61
2025,SyntheticCorp_0022,Logistics,UAE,Synthetic,SME,19687598.73,Yes,Predictive Maintenance,13.77,49
2020,SyntheticCorp_0023,Telecom,Germany,Synthetic,SME,9741034.26,No,None,0.0,33
2021,SyntheticCorp_0023,Logistics,Japan,Synthetic,SME,47109821.01,Yes,Medical Imaging AI,25.48,51
2022,SyntheticCorp_0023,Manufacturing,UK,Synthetic,SME,19051437.92,Yes,Customer Segmentation,35.93,62
2023,SyntheticCorp_0023,Telecom,Germany,Synthetic,Enterprise,34732158859.44,Yes,Recommendation Systems,36.38,41
2024,SyntheticCorp_0023,Logistics,Japan,Synthetic,Enterprise,23285613853.96,Yes,Robotics,26.39,83
2025,SyntheticCorp_0023,Telecom,USA,Synthetic,SME,4895957.23,Yes,Fraud Detection,25.89,77
